on | 87.8.70.31 | Tue Dec 20 19:05:42 2011
on2 | 87.8.70.31 | Tue Dec 20 19:05:45 2011
off2 | 87.8.70.31 | Tue Dec 20 19:05:47 2011
off | 87.8.70.31 | Tue Dec 20 19:05:48 2011
on | 87.8.70.31 | Wed Dec 21 00:07:16 2011
off | 87.8.70.31 | Wed Dec 21 00:07:19 2011
stop | 87.8.70.31 | Wed Dec 21 00:07:25 2011
next | 87.8.70.31 | Wed Dec 21 00:07:27 2011
go | 87.8.70.31 | Wed Dec 21 00:07:29 2011
pause | 87.8.70.31 | Wed Dec 21 00:07:31 2011
play | 87.8.70.31 | Wed Dec 21 00:07:33 2011
pause | 87.8.70.31 | Wed Dec 21 00:07:34 2011
on2 | 87.8.70.31 | Wed Dec 21 00:07:43 2011
off2 | 87.8.70.31 | Wed Dec 21 00:07:44 2011
go | 87.8.70.31 | Wed Dec 21 00:14:31 2011
pause | 87.8.70.31 | Wed Dec 21 00:14:36 2011
on | 87.8.70.31 | Wed Dec 21 00:14:39 2011
off | 87.8.70.31 | Wed Dec 21 00:14:41 2011
on2 | 87.8.70.31 | Wed Dec 21 00:14:43 2011
off2 | 87.8.70.31 | Wed Dec 21 00:14:45 2011
on2 | 188.217.180.80 | Wed Dec 21 21:21:15 2011
off2 | 188.217.180.80 | Wed Dec 21 21:21:21 2011
on | 188.217.180.80 | Wed Dec 21 21:21:23 2011
go | 188.217.180.80 | Wed Dec 21 21:21:28 2011
on2 | 188.217.180.80 | Wed Dec 21 21:21:51 2011
off | 188.217.180.80 | Wed Dec 21 21:21:53 2011
on | 188.217.180.80 | Wed Dec 21 21:21:53 2011
off | 188.217.180.80 | Wed Dec 21 21:21:54 2011
on | 188.217.180.80 | Wed Dec 21 21:21:54 2011
off | 188.217.180.80 | Wed Dec 21 21:21:55 2011
on | 188.217.180.80 | Wed Dec 21 21:21:56 2011
on | ::1 | Thu Mar  7 19:01:46 2013
off | ::1 | Thu Mar  7 19:01:46 2013
on | ::1 | Thu Mar  7 19:01:48 2013
off | ::1 | Thu Mar  7 19:01:51 2013
on | ::1 | Thu Mar  7 19:01:52 2013
off | ::1 | Thu Mar  7 19:02:09 2013
on | ::1 | Thu Mar  7 20:59:10 2013
